house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
"3 BHK Flat for Rent in Raheja Reserve, NIBM Road, Pune",NIBM Road,Pune,1350.0,3,3,3,Unfurnished,39.0,52000.0
"2 BHK Flat for Rent in Pimple Nilakh, Pimpri Chinchwad, Pune",Pimple Nilakh,Pune,800.0,2,2,0,Unfurnished,30.0,24000.0
"1 BHK Flat for Rent in Kalbadevi, Mumbai",Kalbadevi,Mumbai,315.0,1,1,0,Furnished,143.0,45000.0
3 BHK House for Rent in Electronic City Bangalore,Electronic City,Bangalore,2000.0,3,3,3,Semi-Furnished,13.0,25000.0
1 BHK House for Rent in Manjari BK Pune,Manjri Budruk,Pune,630.0,1,1,0,Unfurnished,12.0,7500.0
"3 BHK Flat for Rent in Balagere, Bangalore",Balagere,Bangalore,1700.0,3,3,2,Semi-Furnished,37.0,63000.0
"1 BHK Flat for Rent in Godrej Tranquil, Lokhandwala Township Kandivali East, Mumbai",Lokhandwala Township Kandivali East,Mumbai,427.0,1,1,0,Unfurnished,80.0,34000.0
"1 BHK Flat for Rent in Sadoday Palace, Kamptee Road, Nagpur",Kamptee Road,Nagpur,650.0,1,1,0,Unfurnished,13.0,8500.0
"4 BHK Flat for Rent in Hulimavu, Bangalore",Hulimavu,Bangalore,3560.0,4,5,5,Furnished,37.0,130000.0
2 BHK House for Rent in Freedom Fighters Enclave New Delhi,Freedom Fighters Enclave,New Delhi,1250.0,2,2,0,Furnished,28.0,35000.0
"3 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1200.0,3,3,2,Furnished,38.0,45000.0
"1 BHK Flat for Rent in Magarpatta City Zinnia, Hadapsar, Pune",Hadapsar,Pune,450.0,1,1,10,Furnished,56.0,25000.0
"3 BHK Flat for Rent in Begur Road, Bangalore",Begur Road,Bangalore,1631.0,3,2,2,Semi-Furnished,36.0,58000.0
"2 BHK Flat for Rent in Silver Valley, Wanowrie, Pune",Wanawari,Pune,1200.0,2,2,0,Unfurnished,22.0,27000.0
"2 BHK Flat for Rent in Anutham, Mulund East, Mumbai",Mulund East,Mumbai,675.0,2,2,2,Unfurnished,67.0,45000.0
"3 BHK Flat for Rent in Neeladri Nagar, Bangalore",Neeladri Nagar,Bangalore,1845.0,3,3,3,Semi-Furnished,24.0,45000.0
"3 BHK Flat for Rent in Supreme Elenor, Deonar Chembur, Mumbai",Deonar Chembur,Mumbai,1200.0,3,3,0,Unfurnished,108.0,130000.0
"2 BHK Flat for Rent in D Kapoor Twinkle Apartment, Andheri West, Mumbai",Andheri West,Mumbai,800.0,2,2,0,Unfurnished,94.0,75000.0
"4 BHK Flat for Rent in Emaar Common Wealth Games Village, Commonwealth Games Village, New Delhi",Commonwealth Games Village,New Delhi,2260.0,4,4,3,Furnished,53.0,120000.0
"2 BHK Flat for Rent in Handewadi, Pune",Handewadi,Pune,810.0,2,2,0,Semi-Furnished,15.0,12000.0
3 BHK House for Rent in Block C Dashrath Puri New Delhi,Block C Dashrath Puri,New Delhi,900.0,3,2,2,Semi-Furnished,22.22222222222222,20000.0
"2 BHK Flat for Rent in Somalwada, Nagpur",Somalwada,Nagpur,1100.0,2,2,2,Semi-Furnished,16.0,18000.0
"1 BHK Flat for Rent in Jogeshwari East, Mumbai",Jogeshwari East,Mumbai,440.0,1,1,0,Furnished,80.0,35000.0
2 BHK House for Rent in RR Nagar Bangalore,Rajarajeshwari Nagar,Bangalore,900.0,2,2,0,Unfurnished,19.0,17000.0
"2 BHK Flat for Rent in Besa, Nagpur",Besa,Nagpur,1150.0,2,2,2,Furnished,16.0,18000.0
"2 BHK House for Rent in Hoodi, Hoodi Bangalore",Hoodi,Bangalore,1200.0,2,2,0,Semi-Furnished,16.0,19000.0
1 BHK House for Rent in Ayodhya Nagar Nagpur,Ayodhya Nagar,Nagpur,1700.0,1,1,0,Unfurnished,6.0,11000.0
2 BHK House for Rent in Stage 3rd HAL Bangalore,HAL 3rd Stage,Bangalore,600.0,2,1,0,Semi-Furnished,33.0,20000.0
"2 BHK Flat for Rent in Ganesh Nagar Tilak Nagar, New Delhi",Ganesh Nagar,New Delhi,550.0,2,1,0,Semi-Furnished,25.0,13500.0
4 BHK Villa for Rent in State Highway 104 Bangalore,State Highway 104,Bangalore,4900.0,4,4,0,Furnished,33.0,160000.0
"3 BHK Flat for Rent in Wagholi, Pune",Wagholi,Pune,1000.0,3,3,0,Unfurnished,20.0,20000.0
"2 BHK Flat for Rent in Manayata Tech Park, Bangalore",Manyata Tech Park,Bangalore,800.0,2,2,2,Unfurnished,38.0,30000.0
"2 BHK Flat for Rent in Ganga Constella, Kharadi, Pune",Kharadi,Pune,900.0,2,2,2,Semi-Furnished,39.0,35000.0
"3 BHK Flat for Rent in Katyayani Apartment, Sector 6 Dwarka, New Delhi",Sector 6 Dwarka,New Delhi,1200.0,3,2,2,Furnished,30.0,36000.0
"2 BHK Flat for Rent in Royal Palms, Goregaon East, Mumbai",Goregaon East,Mumbai,600.0,2,2,0,Unfurnished,41.0,24500.0
"1 BHK Flat for Rent in Sion, Mumbai",Sion,Mumbai,550.0,1,2,0,Unfurnished,57.0,31507.0
"4 BHK Flat for Rent in Thanisandra Main Road, Bangalore",Thanisandra Main Road,Bangalore,2494.0,4,4,0,Semi-Furnished,160.0,400000.0
"2 BHK Flat for Rent in Nawada, New Delhi",Nawada,New Delhi,612.0,2,1,0,Unfurnished,15.0,9000.0
"2 BHK Flat for Rent in Accord Nidhi, Liberty Garden, Mumbai",Liberty Garden,Mumbai,690.0,2,2,2,Unfurnished,72.0,50000.0
"3 BHK Flat for Rent in Spiro Tower, Neelam Nagar, Mumbai",Neelam Nagar,Mumbai,1250.0,3,3,6,Furnished,52.0,65000.0
"4 BHK Flat for Rent in Tahnee Heights, Napean Sea Road, Mumbai",Napean Sea Road,Mumbai,3500.0,4,5,0,Semi-Furnished,200.0,700000.0
"2 BHK House for Rent in Pns Layout, Kalyan Nagar Bangalore",PNS Layout,Bangalore,650.0,2,2,0,Semi-Furnished,31.0,20000.0
"1 BHK Flat for Rent in Onkar, Goregaon East, Mumbai",Goregaon East,Mumbai,423.0,1,1,0,Furnished,102.0,43000.0
"2 BHK Flat for Rent in Kabra Rageshree, Borivali West, Mumbai",Borivali West,Mumbai,761.0,2,2,2,Furnished,79.0,60000.0
"1 BHK Flat for Rent in Snow White, Khar West, Mumbai",Khar West,Mumbai,300.0,1,1,0,Unfurnished,103.0,31000.0
"3 BHK Flat for Rent in Punawale, Pimpri Chinchwad, Pune",Punawale,Pune,1000.0,3,3,2,Furnished,32.0,32000.0
"2 BHK Flat for Rent in Chinchwad Gaon, Pimpri Chinchwad, Pune",Chinchwad Gaon,Pune,700.0,2,1,0,Furnished,24.0,16500.0
"2 BHK Flat for Rent in Kolte Patil Umang Premiere, Wagholi, Pune",Wagholi,Pune,1100.0,2,2,2,Furnished,21.0,23000.0
2 BHK House for Rent in New Colony Nagpur,New Colony,Nagpur,1500.0,2,2,2,Semi-Furnished,12.0,18000.0
"2 BHK Flat for Rent in Lok Nayak Puram, Bakkarwala, New Delhi",Lok Nayak Puram,New Delhi,500.0,2,1,0,Semi-Furnished,15.0,7250.0
1 BHK House for Rent in Dighori Road Nagpur,Dighori Road,Nagpur,800.0,1,2,0,Semi-Furnished,10.0,8000.0
"2 BHK Flat for Rent in Pali Hill, Mumbai",Pali Hill,Mumbai,600.0,2,1,0,Semi-Furnished,125.0,75000.0
"2 BHK Flat for Rent in Mohan Garden Uttam Nagar, New Delhi",Mohan Garden Uttam Nagar,New Delhi,650.0,2,2,0,Semi-Furnished,17.0,11000.0
"2 BHK Flat for Rent in Mantra Montana, Dhanori, Pune",Dhanori,Pune,780.0,2,2,2,Semi-Furnished,26.0,20000.0
"2 BHK Flat for Rent in Shree Ram Hill View, Lohegaon, Pune",Lohegaon,Pune,750.0,2,2,0,Semi-Furnished,27.0,20000.0
"3 BHK Flat for Rent in Malabar Hill, Mumbai",Malabar Hill,Mumbai,1365.0,3,4,0,Semi-Furnished,147.0,200000.0
3 BHK House for Rent in Dabha Nagpur,Dabha,Nagpur,1000.0,3,3,0,Unfurnished,28.0,28000.0
"1 BHK Flat for Rent in Sone Gaon, Nagpur",Sone Gaon,Nagpur,600.0,1,1,0,Semi-Furnished,12.0,7500.0
2 BHK House for Rent in Wardha Nagpur,Wardha,Nagpur,1500.0,2,2,2,Semi-Furnished,5.0,8000.0
"3 BHK Flat for Rent in NTPC Apartment, Sector 19 Dwarka, New Delhi",Sector 19 Dwarka,New Delhi,1800.0,3,3,4,Furnished,31.0,55000.0
"1 BHK Flat for Rent in Swastik Muhurtam, Mahalunge, Pune",Mahalunge,Pune,450.0,1,1,0,Furnished,29.0,12999.0
"3 BHK Flat for Rent in Chhatarpur Extension, New Delhi",Chhatarpur Extension,New Delhi,1250.0,3,3,2,Unfurnished,22.0,28000.0
"2 BHK Flat for Rent in New Golden Nest Road, Mumbai",New Golden Nest Road,Mumbai,750.0,2,2,0,Unfurnished,32.0,24000.0
"3 BHK Flat for Rent in Ber Sarai, New Delhi",Ber Sarai,New Delhi,2000.0,3,2,2,Unfurnished,16.0,32000.0
"1 BHK Flat for Rent in Powai, Mumbai",Powai,Mumbai,250.0,1,1,0,Unfurnished,60.0,15000.0
"2 BHK Flat for Rent in Fortune East, Kharadi, Pune",Kharadi,Pune,950.0,2,2,0,Semi-Furnished,32.0,30000.0
"3 BHK Flat for Rent in JVPD Scheme, Mumbai",JVPD Scheme,Mumbai,1240.0,3,3,0,Unfurnished,181.0,230000.0
"3 BHK Flat for Rent in Mahendra Park, Jhangir Puri, New Delhi",Mahendra Park,New Delhi,200.0,3,2,2,Unfurnished,130.0,26000.0
2 BHK House for Rent in West Sagarpur New Delhi,Sagarpur West,New Delhi,630.0,2,2,0,Semi-Furnished,19.0,12000.0
"4 BHK Flat for Rent in Block 1st Koramangala, Bangalore",Block 1st Koramangala,Bangalore,2100.0,4,4,3,Furnished,71.0,150000.0
"4 BHK Flat for Rent in Amar Eternity, Baner, Pune",Baner,Pune,3400.0,4,5,2,Semi-Furnished,81.0,280000.0
"2 BHK Flat for Rent in Bhaktamar Residency, Wadgaon Sheri, Pune",Wadgaon Sheri,Pune,1200.0,2,2,2,Unfurnished,32.0,38000.0
"2 BHK Flat for Rent in Jaitala, Nagpur",Jaitala,Nagpur,750.0,2,1,0,Furnished,23.0,17500.0
"2 BHK Flat for Rent in Sampigehalli, Sampigehalli, Bangalore",Sampigehalli,Bangalore,340.0,2,2,0,Semi-Furnished,94.0,32000.0
4 BHK House for Rent in Whitefield Bangalore,Whitefield,Bangalore,1750.0,4,5,3,Unfurnished,57.0,100000.0
2 BHK House for Rent in Khapri Nagpur,Khapri,Nagpur,1230.0,2,2,2,Unfurnished,7.0,8000.0
"3 BHK Flat for Rent in Chakan, Pune",Chakan,Pune,1288.0,3,3,3,Unfurnished,12.0,15000.0
"1 BHK Flat for Rent in Vasai East, Mumbai",Vasai East,Mumbai,261.0,1,1,0,Semi-Furnished,38.0,10000.0
"3 BHK Flat for Rent in Marathahalli, Bangalore",Marathahalli,Bangalore,1580.0,3,3,3,Semi-Furnished,38.0,60000.0
"3 BHK Flat for Rent in Stage 2 Indiranagar, Bangalore",Indira nagar Stage 2,Bangalore,1700.0,3,3,3,Furnished,44.0,75000.0
"3 BHK Flat for Rent in Rohan Tarang, Wakad, Pune",Wakad,Pune,1600.0,3,3,3,Furnished,32.0,52000.0
2 BHK House for Rent in Dwarka Sector 9 New Delhi,Sector 9 Dwarka,New Delhi,800.0,2,1,0,Unfurnished,10.0,8000.0
1 BHK House for Rent in Chembur Mumbai,Chembur,Mumbai,300.0,1,0,0,Unfurnished,17.0,5000.0
"1 BHK Flat for Rent in Atmanand Apartment, Vishrantwadi, Airport Road, Pune",Vishrantwadi,Pune,650.0,1,1,0,Semi-Furnished,20.0,13000.0
"4 BHK Flat for Rent in Skyi Songbirds, Bhugaon, Bavdhan, Pune",Bhugaon,Pune,1900.0,4,4,3,Unfurnished,21.0,40000.0
"1 BHK Flat for Rent in Rajouri Apartments, Rajouri Garden, New Delhi",Rajouri Garden,New Delhi,600.0,1,1,0,Semi-Furnished,33.0,20000.0
"2 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bangalore,1178.0,2,2,4,Unfurnished,15.0,18000.0
"2 BHK Flat for Rent in Chatrapati Nagar, Nagpur",Chatrapati Nagar,Nagpur,700.0,2,1,2,Unfurnished,21.0,15000.0
"2 BHK Flat for Rent in Dabha, Nagpur",Dabha,Nagpur,920.0,2,2,2,Unfurnished,10.0,9000.0
"2 BHK House for Rent in Manjri, Manjri Budruk Pune",Manjri,Pune,800.0,2,2,0,Unfurnished,12.0,10000.0
"3 BHK Flat for Rent in Itpl, Whitefield, Bangalore",ITPL,Bangalore,1800.0,3,3,2,Semi-Furnished,40.0,72000.0
"2 BHK Flat for Rent in Matunga West, Mumbai",Matunga West,Mumbai,950.0,2,2,0,Furnished,132.0,130000.0
"2 BHK Flat for Rent in Alica Nagar CHS, Lokhandwala Township Kandivali East, Mumbai",Lokhandwala Township Kandivali East,Mumbai,530.0,2,2,0,Semi-Furnished,66.0,35000.0
"1 BHK Flat for Rent in Sant Nagar East of Kailash, New Delhi",Sant Nagar East of Kailash,New Delhi,400.0,1,1,0,Semi-Furnished,38.0,15000.0
3 BHK House for Rent in Ashok Vihar New Delhi,Ashok Vihar,New Delhi,1530.0,3,3,0,Unfurnished,23.0,35000.0
"1 BHK Flat for Rent in Grant Road East, Mumbai",Grant Road East,Mumbai,675.0,1,1,0,Furnished,102.0,69000.0
"3 BHK Flat for Rent in Laxman Nagar Baner, Pune",Laxman Nagar Baner,Pune,1100.0,3,2,2,Semi-Furnished,30.0,33000.0
"4 BHK Flat for Rent in Vasant Vihar, New Delhi",Vasant Vihar,New Delhi,2200.0,4,4,2,Semi-Furnished,148.0,330000.0
"3 BHK Flat for Rent in Suyog Nagar, Nagpur",Suyog Nagar,Nagpur,1250.0,3,2,3,Semi-Furnished,17.0,21000.0
"2 BHK Flat for Rent in Gera Park View, Kharadi, Pune",Kharadi,Pune,810.0,2,2,2,Semi-Furnished,40.0,32000.0
1 BHK House for Rent in Katraj Pune,Katraj,Pune,600.0,1,1,0,Unfurnished,28.0,17000.0
1 BHK House for Rent in Yelahanka Bangalore,Yelahanka,Bangalore,1100.0,1,2,0,Unfurnished,11.0,12000.0
"3 BHK Flat for Rent in DDA Narwana Apartments, Indraprastha, New Delhi",Indraprastha,New Delhi,1350.0,3,2,2,Furnished,44.0,60000.0
"3 BHK Flat for Rent in India Bulls Sky Forest, Lower Parel, Mumbai",Lower Parel,Mumbai,1513.0,3,3,3,Unfurnished,152.0,230000.0
"3 BHK House for Rent in Project Pushpanjali Enclave, Pushpanjali Enclave New Delhi",Pushpanjali Enclave,New Delhi,1660.0,3,2,2,Semi-Furnished,18.0,30000.0
"1 BHK Flat for Rent in Veerchakra Colony Welcome Society, Katol Road, Nagpur",Katol Road,Nagpur,550.0,1,1,3,Semi-Furnished,18.0,10000.0
"2 BHK Flat for Rent in Civil Lines, Nagpur",Civil Lines,Nagpur,1200.0,2,2,3,Semi-Furnished,19.0,23000.0
"1 BHK House for Rent in Lok Rachana, Amar Nagar Mulund West Mumbai",Amar Nagar Mulund West,Mumbai,490.0,1,1,0,Furnished,51.0,25000.0
"2 BHK Flat for Rent in Hennur Gardens, Bangalore",Hennur,Bangalore,800.0,2,2,0,Semi-Furnished,45.0,36000.0
3 BHK House for Rent in Shastri Nagar New Delhi,Shastri Nagar,New Delhi,576.0,3,2,0,Semi-Furnished,38.0,22000.0
"2 BHK Flat for Rent in Dosti Eastern Bay, Wadala East, Mumbai",Wadala East,Mumbai,673.0,2,2,0,Semi-Furnished,116.0,78000.0
"2 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1237.0,2,2,0,Semi-Furnished,40.0,50000.0
"2 BHK Flat for Rent in Undri, Pune",Undri,Pune,825.0,2,2,0,Unfurnished,40.0,33000.0
1 BHK House for Rent in Dhanori Pune,Dhanori,Pune,500.0,1,1,0,Semi-Furnished,18.0,9000.0
"3 BHK Flat for Rent in Domlur, Domlur, Bangalore",Domlur,Bangalore,1750.0,3,4,3,Semi-Furnished,57.0,100000.0
2 BHK House for Rent in Sector 14 Dwarka New Delhi,Sector 14 Dwarka,New Delhi,800.0,2,1,0,Semi-Furnished,12.0,10000.0
3 BHK House for Rent in Karvenagar Pune,Karve Nagar,Pune,1500.0,3,3,2,Furnished,30.0,45000.0
"2 BHK Flat for Rent in Ravi Nagar, Nagpur",Ravi Nagar,Nagpur,625.0,2,1,2,Unfurnished,24.0,15000.0
"1 BHK Flat for Rent in Kundan Nagar, Laxmi Nagar, New Delhi",Kundan Nagar,New Delhi,450.0,1,1,0,Semi-Furnished,11.0,5000.0
"3 BHK Flat for Rent in Prabha Apartment, Sector 23 Dwarka, New Delhi",Sector 23 Dwarka,New Delhi,1800.0,3,3,2,Semi-Furnished,25.0,45000.0
2 BHK House for Rent in Karol Bagh New Delhi,Karol Bagh,New Delhi,800.0,2,2,0,Unfurnished,50.0,40000.0
"4 BHK Flat for Rent in Bandra West, Mumbai",Bandra West,Mumbai,2000.0,4,5,2,Semi-Furnished,250.0,500000.0
"1 BHK Flat for Rent in Dhanori, Pune",Dhanori,Pune,520.0,1,1,0,Semi-Furnished,19.0,10000.0
2 BHK House for Rent in Gottigere Bangalore,Gottigere,Bangalore,700.0,2,1,0,Semi-Furnished,11.0,7500.0
"2 BHK Flat for Rent in Goregaon West, Mumbai",Goregaon West,Mumbai,350.0,2,2,0,Unfurnished,69.0,23999.0
"2 BHK Flat for Rent in Harlur, Bangalore",Harlur,Bangalore,845.0,2,2,0,Semi-Furnished,53.0,45000.0
"3 BHK Flat for Rent in Vidisha Apartment, Madhu Vihar, New Delhi",Madhu Vihar,New Delhi,1115.0,3,3,0,Semi-Furnished,27.0,30000.0
2 BHK House for Rent in MKS Layout Bangalore,MKS Layout,Bangalore,1000.0,2,2,0,Semi-Furnished,25.0,25000.0
"2 BHK Flat for Rent in Stage 2nd BTM Layout, Bangalore",BTM Layout Stage 2,Bangalore,600.0,2,2,0,Semi-Furnished,47.0,28000.0
"2 BHK Flat for Rent in Ecopolitan, Punvale Bazar, Pune",Punvale Bazar,Pune,780.0,2,2,0,Semi-Furnished,29.0,23000.0
"3 BHK Flat for Rent in Pride Pride Platinum, Baner, Pune",Baner,Pune,1350.0,3,3,2,Semi-Furnished,30.0,40000.0
"1 BHK Flat for Rent in Bhandup, Mumbai",Bhandup,Mumbai,250.0,1,1,0,Furnished,60.0,15000.0
"4 BHK Flat for Rent in Tumkur Road, Bangalore",Tumkur Road,Bangalore,1520.0,4,5,2,Semi-Furnished,36.0,55000.0
"3 BHK Flat for Rent in Nagdevanahalli, Bangalore",Nagdevanahalli,Bangalore,1240.0,3,2,2,Semi-Furnished,20.0,25000.0
"3 BHK Flat for Rent in Dosti Eastern Bay, Wadala East, Mumbai",Wadala East,Mumbai,1040.0,3,3,0,Semi-Furnished,123.0,130000.0
"2 BHK Flat for Rent in Sukhwani Shivom, Kiwale, Dehu Road, Pune",Kiwale,Pune,680.0,2,2,2,Semi-Furnished,26.0,18000.0
1 BHK House for Rent in Btm Layout Bangalore,BTM Layout,Bangalore,500.0,1,1,0,Semi-Furnished,25.0,12500.0
"2 BHK Flat for Rent in Malviya Nagar, New Delhi",Malviya Nagar,New Delhi,900.0,2,2,2,Furnished,33.0,30000.0
1 BHK House for Rent in Horamavu Bangalore,Horamavu,Bangalore,800.0,1,1,0,Unfurnished,19.0,15000.0
"2 BHK Flat for Rent in Charholi BK, Pune",Charholi Budruk,Pune,796.0,2,2,0,Unfurnished,25.0,20000.0
"2 BHK Flat for Rent in Burari, New Delhi",Burari,New Delhi,70.0,2,2,0,Unfurnished,200.0,14000.0
"2 BHK Flat for Rent in Tumkur Road, Bangalore",Tumkur Road,Bangalore,1058.0,2,2,0,Semi-Furnished,64.0,68000.0
